error_category,example_id,post_text,label,majority_prediction,naive_bayes_prediction,logistic_regression_prediction,bertweet_prediction,majority_correct,naive_bayes_correct,logistic_regression_correct,bertweet_correct,manual_error_type,manual_note,report_use
all_models_wrong,14736,"""I've never been chased by a goose, but I have been chased by a geese."" @desc5114 who thought a goose and a geese were different species",0,0,1,1,1,True,False,False,False,humor/pop-culture content false positive,"The tweet is humorous or entertainment-related, but all learned models predicted depression.",Use as example of models misreading casual Twitter language.
all_models_wrong,11495,RT @AdelaideKane: Catching my cat skulking around weird places in my apartment is the best part of my day 😺,0,0,1,1,1,True,False,False,False,humor/pop-culture content false positive,"The tweet is humorous or entertainment-related, but all learned models predicted depression.",Use as example of models misreading casual Twitter language.
all_models_wrong,16852,@_ahmadqushairi yeah. I guess I'll try that.,0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,16764,@anthraxxxx how do you manage? 😢,0,0,1,1,1,True,False,False,False,emoji/emotional marker false positive,Emoji or expressive phrasing may have pushed models toward the positive class.,Use as noisy social-media language example.
all_models_wrong,14430,RT @OMagill98: Annoys me how u can talk to someone for months &amp; then one day they just stop talking to u?? how do u do it?? are u the devil…,0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,12064,"RT @Rumi_Quote: Love is cure, Love is power, Love is the magic of changes. Love is the mirror of divine beauty.",0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,17559,Lol they separated us. Said they could charge me with assault but Emma didn't want to lol,0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,14642,"RT @kanyewest: These issues included bullying, supporting teachers, modernizing curriculums, and violence in Chicago.",0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,11622,You're not really fucked up until you give up.,0,0,1,1,1,True,False,False,False,explicit mental-health/negative keyword false positive,All models likely reacted to strong mental-health or distress keywords even though the gold label is 0.,Use as keyword-driven false-positive example.
all_models_wrong,16573,"If you wanna test out the frostbite effect, get an icecube, and some salt.",0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,17546,If you think you and ya ex are gonna remain friends just remember Gucci and Waka don't even talk anymore..,0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,10854,"RT @alexs_danvers: drowned in moonlight, strangled by my own bra.",0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
